episode,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
0,789.802100593129,0,0,-100.0,123.20772562318977,6.904159659686617,0,0,0
1,789.7998072451861,0,0,-100.0,123.46155440063954,8.748517349948527,0,0,0
2,789.8985961507782,0,0,-99.5,123.79563636931708,6.918597481148501,0,0,0
3,789.2033868638582,0,0,-103.0,137.02325543908862,9.131508853254056,0,0,0
4,790.1089558361242,0,0,-98.5,122.23322782001243,7.24768934277904,0,0,0
5,790.0093264413858,0,0,-99.0,121.30734363628474,6.8011348481029,0,0,0
6,790.1034482526284,0,0,-98.5,121.2751618918787,7.802839183869093,0,0,0
7,790.0061997913203,0,0,-99.0,123.5203321284994,9.09622503927004,0,0,0
8,790.2187197849947,0,0,-98.0,120.13401442006901,8.48404664244407,0,0,0
9,790.1983757293451,0,0,-98.0,119.76850352325097,7.201927316805721,0,0,0
10,789.8985783896744,0,0,-99.5,123.79354301797179,6.768245821506289,0,0,0
11,789.5944393597006,0,0,-101.0,129.8185950470239,8.974555005527275,0,0,0
12,790.0022989695278,0,0,-99.0,121.20553861478577,8.345318054744128,0,0,0
13,788.3891092426985,0,0,-107.0,147.63482577999073,9.826479350532416,0,0,0
14,789.596325093566,0,0,-101.0,130.10793610917653,8.403498201139698,0,0,0
15,790.0963215999011,0,0,-98.5,122.19774726330814,7.474342967973351,0,0,0
16,789.99748712345,0,0,-99.0,121.50453793979021,7.981797319740149,0,0,0
17,790.2093162691285,0,0,-98.0,119.47222403381882,8.33384822352041,0,0,0
18,790.0100397886757,0,0,-99.0,122.57283679104833,6.8163637335839615,0,0,0
19,789.9009778453146,0,0,-99.5,124.2401969107579,7.580500358218565,0,0,0
20,789.5978506940996,0,0,-101.0,129.71545202900776,8.329764369456758,0,0,0
21,790.2054447709019,0,0,-98.0,120.56878751217904,8.26235793123297,0,0,0
22,789.5078664436837,0,0,-101.5,123.99704447984891,6.211696170237991,0,0,0
23,789.8000035614942,0,0,-100.0,125.63390079532836,7.657852058807059,0,0,0
24,789.0964969576487,0,0,-103.5,139.068095855573,8.968713990875509,0,0,0
25,789.9032638040261,0,0,-99.5,123.15150152154331,7.084422623224146,0,0,0
26,789.8070208422286,0,0,-100.0,124.1853037727979,7.692649113676293,0,0,0
27,789.8978404298811,0,0,-99.5,124.22079568748401,7.30599455170224,0,0,0
28,789.8970714230375,0,0,-99.5,122.94805029610532,8.164333053589797,0,0,0
29,790.0916700397673,0,0,-98.5,122.3821289121096,7.69743033475956,0,0,0
30,790.0941902085245,0,0,-98.5,121.44873538918422,8.037906672409175,0,0,0
31,790.1991411530314,0,0,-98.0,120.42612328083408,7.7785935011141865,0,0,0
32,790.2015123759909,0,0,-98.0,120.76910356870717,7.9831793910723485,0,0,0
33,790.1867046111811,0,0,-98.0,119.48124970723138,7.7536645341580215,0,0,0
34,789.9885107629667,0,0,-99.0,122.74124485818086,7.924107470952813,0,0,0
35,789.9967986379351,0,0,-99.0,123.76135064856113,7.6941519866409935,0,0,0
36,789.9991639356723,0,0,-99.0,122.60265081597612,7.806119700643895,0,0,0
37,789.9883483639662,0,0,-99.0,124.57377093023597,8.181922391876572,0,0,0
38,789.9969260224601,0,0,-99.0,124.43013371997253,8.299095493160188,0,0,0
39,790.1946017475822,0,0,-98.0,120.63671523413139,8.06976139268077,0,0,0
40,790.0970906071686,0,0,-98.5,122.81336896785382,7.513583150315405,0,0,0
41,790.0971190919381,0,0,-98.5,121.13851160709079,7.768216477152914,0,0,0
42,790.1026905861995,0,0,-98.5,121.06040731507238,7.930474359898339,0,0,0
43,789.6898138648725,0,0,-100.5,129.5367076236827,8.885516833008438,0,0,0
44,790.101101331574,0,0,-98.5,121.81809651440382,8.416473494956307,0,0,0
45,789.7899196161527,0,0,-100.0,127.9065955053784,8.364969270869688,0,0,0
46,790.0996219226829,0,0,-98.5,122.11179595350045,7.986139059034003,0,0,0
47,790.202189845726,0,0,-98.0,120.50105164189938,8.087091837261543,0,0,0
48,789.3919488758087,0,0,-102.0,134.69604075530296,9.219432550152241,0,0,0
49,789.9961081719093,0,0,-99.0,124.87809435268998,8.520931248518671,0,0,0
50,789.8940625840578,0,0,-99.5,125.81835395428212,8.833986148968073,0,0,0
