episode,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
0,791.630534181874,0,0,-91.0,130.31170909560063,7.105324105408084,0,0,0
1,790.5084389256477,0,0,-96.5,148.2408381801476,8.574621722471655,0,0,0
2,789.6060584019345,0,0,-101.0,159.25169135540463,10.74622695122938,0,0,0
3,792.0291390165854,0,0,-89.0,123.26834366239521,7.236353750261431,0,0,0
4,791.8262357551961,0,0,-90.0,126.65717853107705,6.2719578907601194,0,0,0
5,791.5146091158756,0,0,-91.5,125.45511324842738,7.789009732215802,0,0,0
6,789.9100387068102,0,0,-99.5,154.50026027813277,9.533764673890643,0,0,0
7,791.4278889749567,0,0,-92.0,135.37554768842884,8.447178391375482,0,0,0
8,791.9281596176759,0,0,-89.5,123.32147821383192,7.706751843935455,0,0,0
9,790.3145288402725,0,0,-97.5,148.8186009574778,7.752074807918361,0,0,0
10,791.9284889910726,0,0,-89.5,122.90485861719786,8.441411911959646,0,0,0
11,791.7233237262243,0,0,-90.5,126.36987877014889,6.605888878860608,0,0,0
12,791.6368858142594,0,0,-91.0,129.1312336613179,5.600025608350742,0,0,0
13,791.0292054482454,0,0,-94.0,125.93483027015586,5.651310258368929,0,0,0
14,791.8258968950167,0,0,-90.0,126.92188362832876,5.2097656891979085,0,0,0
15,792.0200844617838,0,0,-89.0,125.84998047627766,6.042375411300622,0,0,0
16,791.3274646874585,0,0,-92.5,130.6319591769952,4.450083312085457,0,0,0
17,791.5319723333513,0,0,-91.5,127.16088399536521,7.2513194950967055,0,0,0
18,791.5254647520056,0,0,-91.5,124.46783822260453,6.881334558096684,0,0,0
19,791.9355378898995,0,0,-89.5,126.84140192304972,6.932656331642257,0,0,0
20,791.932191900534,0,0,-89.5,122.96357945757316,7.508562249210681,0,0,0
21,791.330227522844,0,0,-92.5,128.48448252839086,6.190403288825166,0,0,0
22,791.8428123351725,0,0,-90.0,124.44366853123343,7.40178109904686,0,0,0
23,792.23816612133,0,0,-88.0,121.8682409377164,6.3100583572146824,0,0,0
24,791.5386224508884,0,0,-91.5,134.7903115157758,7.54323733704276,0,0,0
25,790.2143346834159,0,0,-98.0,153.40081934572265,8.745715148388959,0,0,0
26,792.0263146791375,0,0,-89.0,124.99216790599407,6.075930982894766,0,0,0
27,789.2102695294133,0,0,-103.0,162.60146306201383,7.144021912336371,0,0,0
28,791.631474785632,0,0,-91.0,128.1869947583059,4.781310419331131,0,0,0
29,791.930108644928,0,0,-89.5,126.15940048158515,5.587719869517663,0,0,0
30,792.2311793458247,0,0,-88.0,122.2733577616108,6.656924291008555,0,0,0
31,792.1236754179456,0,0,-88.5,123.80980155276254,6.872776003456785,0,0,0
32,792.0395083021792,0,0,-89.0,123.36970914573494,7.372284316014419,0,0,0
33,791.4261595716296,0,0,-92.0,127.02377312058181,5.4854563513188435,0,0,0
34,791.5288476315169,0,0,-91.5,127.0997249691274,5.40271503119731,0,0,0
35,791.6232248948918,0,0,-91.0,127.24771622402515,5.392094608925049,0,0,0
36,792.0265914876176,0,0,-89.0,125.96142915581132,6.038210026703207,0,0,0
37,791.8214011718576,0,0,-90.0,125.94313497861482,6.0997677860211965,0,0,0
38,792.1286373007604,0,0,-88.5,124.0201694602242,6.789847874305231,0,0,0
39,791.9199919663902,0,0,-89.5,124.87352186906527,6.694523696615613,0,0,0
40,790.9160643626506,0,0,-94.5,141.00313016086233,7.523866867121523,0,0,0
41,792.0210469896132,0,0,-89.0,125.36708049165821,5.583371153820983,0,0,0
42,792.0240366066243,0,0,-89.0,125.18923938553411,6.919051265433554,0,0,0
43,792.0162335519123,0,0,-89.0,124.44909969515614,6.6421756877583364,0,0,0
44,792.2274294653313,0,0,-88.0,122.29815749852057,6.46478454685824,0,0,0
45,792.0121434262011,0,0,-89.0,125.67779722242213,6.587744737370965,0,0,0
46,792.1272583968022,0,0,-88.5,123.71415548903789,6.500476131254635,0,0,0
47,791.8222492581016,0,0,-90.0,128.72269124010333,6.39132499785654,0,0,0
48,791.6253024411028,0,0,-91.0,132.73210670069204,7.216510156314825,0,0,0
49,792.3229456068925,0,0,-87.5,121.63339537355664,6.942401531041425,0,0,0
50,792.1309019442693,0,0,-88.5,123.796079142711,5.730325717809575,0,0,0
