episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
92,644.9722865682199,1.0,771.9194592530857,0.0,0.0,-164.5,22.9891068789566,24.01428519453915,0.0,0.0,0.0
94,644.9459952084414,1.0,772.143701540529,0.0,0.0,-163.5,21.80311527580347,23.889615306524433,0.0,0.0,0.0
96,646.1364329172553,1.0,771.9467901767309,0.0,0.0,-164.5,23.776459380917615,24.347625154976466,0.0,0.0,0.0
98,644.8063147503307,1.0,771.9613308690219,0.0,0.0,-164.5,22.80904449502355,23.967624988874654,0.0,0.0,0.0
100,-332.4260483356489,0.0,0.0,-100.0,0.0,-560.5,263.5982709997593,91.06368801240802,0.0,0.0,0.0
102,645.4135424219214,1.0,771.8609114858187,0.0,0.0,-165.0,23.830551377428762,24.19122956107455,0.0,0.0,0.0
104,-145.793140958727,0.0,0.0,0.0,-50.0,-182.0,63.82643085422717,32.29535651467378,0.0,0.0,0.0
106,633.726318426297,1.0,771.1556122534417,0.0,0.0,-168.5,18.517442023753084,22.17706540688476,0.0,0.0,0.0
108,-393.1141434681267,0.0,0.0,-100.0,0.0,-555.0,195.14135047306897,91.97902336458938,0.0,0.0,0.0
110,642.5111032808961,1.0,771.7430528523922,0.0,0.0,-165.5,22.217904039231257,23.473985470488337,0.0,0.0,0.0
112,-368.51666405776916,0.0,0.0,-100.0,0.0,-535.5,194.42143053838277,97.65553358139546,0.0,0.0,0.0
114,-373.68621644276936,0.0,0.0,-100.0,0.0,-532.5,185.71498090540686,98.29734919300203,0.0,0.0,0.0
116,648.2021053617865,1.0,772.6643116327713,0.0,0.0,-161.0,21.982723896853784,23.825954488421868,0.0,0.0,0.0
118,-361.338664847326,0.0,0.0,-100.0,0.0,-528.5,194.98580286418678,97.80637704344026,0.0,0.0,0.0
120,645.8347585223942,1.0,772.3475754411165,0.0,0.0,-162.5,21.82002282890346,23.522406256336758,0.0,0.0,0.0
122,649.0814401925694,1.0,772.2275970198436,0.0,0.0,-163.0,25.232128054072906,23.97704847009844,0.0,0.0,0.0
124,664.7125537131667,1.0,772.8635959656366,0.0,0.0,-159.5,34.05184831173695,26.545183549574574,0.0,0.0,0.0
126,661.1929653398494,1.0,772.8691008378349,0.0,0.0,-159.5,31.220440159108144,25.847510433892193,0.0,0.0,0.0
128,655.5863800442974,1.0,772.407715470871,0.0,0.0,-162.0,29.48954251695095,25.026973442570462,0.0,0.0,0.0
130,657.7467570050785,1.0,772.4690080946924,0.0,0.0,-161.5,30.51544917719976,25.598264962605185,0.0,0.0,0.0
132,661.171865086908,1.0,772.6091420517105,0.0,0.0,-161.0,33.006717958753256,25.840315663091218,0.0,0.0,0.0
133,661.171865086908,1.0,772.6091420517105,0.0,0.0,-161.0,33.006717958753256,25.840315663091218,0.0,0.0,0.0
