episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
26,517.1611163351176,1.0,746.6465482058449,0.0,0.0,-314.0,71.55911940018247,13.785491652116102,0.0,0.0,0.0
27,508.30915830174627,1.0,746.1704635454836,0.0,0.0,-316.5,64.43173759856921,14.754738431882936,0.0,0.0,0.0
28,500.2998850419648,1.0,745.3893533816992,0.0,0.0,-320.5,60.584075878239936,15.203530385073288,0.0,0.0,0.0
29,506.50200669000196,1.0,746.0818950459818,0.0,0.0,-317.0,62.52919699266054,15.20131980558215,0.0,0.0,0.0
30,502.87344817994597,1.0,745.7881356604232,0.0,0.0,-318.5,60.72958443663545,15.092667797245122,0.0,0.0,0.0
31,501.8305747138346,1.0,745.4984302389282,0.0,0.0,-320.0,61.448660699804734,15.118007242630753,0.0,0.0,0.0
32,503.57287106838237,1.0,746.1034059992642,0.0,0.0,-317.0,58.93395353361457,15.548336822535006,0.0,0.0,0.0
33,506.23271660661646,1.0,746.9083916029592,0.0,0.0,-313.0,56.49217548641459,15.700022693679049,0.0,0.0,0.0
34,512.1832559291638,1.0,746.9883073238686,0.0,0.0,-312.5,62.1146703848814,15.609073408694695,0.0,0.0,0.0
35,517.7149979663837,1.0,748.0840121989073,0.0,0.0,-307.0,60.08229707475995,16.482799993884736,0.0,0.0,0.0
36,520.2503408733983,1.0,748.8669910017693,0.0,0.0,-303.0,57.73709624940631,16.70474887888379,0.0,0.0,0.0
37,523.1355710602289,1.0,749.5271918543427,0.0,0.0,-299.5,56.291021167210694,16.885410669002482,0.0,0.0,0.0
38,523.0676887835831,1.0,749.1347306659596,0.0,0.0,-301.5,58.33156109573989,17.08574240835248,0.0,0.0,0.0
39,519.5921951389796,1.0,749.4273689674974,0.0,0.0,-300.0,53.29075854086774,17.02454874872053,0.0,0.0,0.0
40,524.7339287916006,1.0,748.9250625888855,0.0,0.0,-302.5,60.681366219050986,17.46036066003063,0.0,0.0,0.0
41,527.5098027884969,1.0,748.0219813518723,0.0,0.0,-307.0,70.51052727845118,16.18915674010968,0.0,0.0,0.0
42,532.0388623990181,1.0,746.018399056105,0.0,0.0,-317.0,87.79187180353611,15.846787872753826,0.0,0.0,0.0
43,531.7324387523724,1.0,748.7438741041884,0.0,0.0,-303.5,69.04462978009,17.449143461431976,0.0,0.0,0.0
44,530.173714703012,1.0,748.2501671140399,0.0,0.0,-306.0,70.57373391951427,17.349669075395756,0.0,0.0,0.0
45,531.4185628111583,1.0,747.7753337388416,0.0,0.0,-308.5,74.48968411554412,17.67359352803551,0.0,0.0,0.0
46,521.1910199984871,1.0,748.5932761481328,0.0,0.0,-304.5,60.09148315848233,16.802623278706015,0.0,0.0,0.0
47,519.372135313631,1.0,748.8953693368057,0.0,0.0,-303.0,56.52588492249181,17.05848733025511,0.0,0.0,0.0
48,517.2371471867538,1.0,748.7079583735617,0.0,0.0,-304.0,55.486519465996686,17.117015799129337,0.0,0.0,0.0
49,519.9702211877473,1.0,748.4086376544323,0.0,0.0,-305.5,59.56879482938912,17.39481490530153,0.0,0.0,0.0
50,538.3482351087114,1.0,726.7668859755912,0.0,0.0,-412.5,166.58455572623092,61.579672448513364,0.0,0.0,0.0
51,517.1607856260085,1.0,748.8961400217274,0.0,0.0,-303.0,54.49800790206341,16.930905427589845,0.0,0.0,0.0
