episode,total_reward,success_rate,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
88,643.6674703707105,1.0,769.6794315140869,0.0,0.0,-174.5,26.28426532293263,24.01677080468026,0.0,0.0,0.0
90,660.8469327067546,1.0,771.2183263747014,0.0,0.0,-167.5,32.90789258989861,25.83220187844417,0.0,0.0,0.0
92,646.6941865748089,1.0,770.2794712632823,0.0,0.0,-172.0,29.173571712189236,24.70713277971678,0.0,0.0,0.0
94,646.7305437454747,1.0,770.9656054216393,0.0,0.0,-168.5,25.864381674382393,24.11772968476135,0.0,0.0,0.0
96,660.1470231541005,1.0,771.4289028400623,0.0,0.0,-166.5,35.516681443298616,26.177616140598502,0.0,0.0,0.0
98,660.3062002321354,1.0,772.0403975846481,0.0,0.0,-163.5,33.438027451746606,25.801640824798795,0.0,0.0,0.0
100,662.4108549133217,1.0,772.5986914354849,0.0,0.0,-160.5,31.310327459316575,25.709654098705517,0.0,0.0,0.0
102,658.4647267506538,1.0,772.3931000600605,0.0,0.0,-161.5,29.657962899316935,25.206326174842452,0.0,0.0,0.0
104,658.8864304749052,1.0,772.7380927212062,0.0,0.0,-159.5,28.378682317412945,25.079960885439718,0.0,0.0,0.0
106,654.387664320011,1.0,772.3447333975616,0.0,0.0,-161.5,26.935577650497613,24.44442363421046,0.0,0.0,0.0
108,655.8971146877227,1.0,772.3889219965287,0.0,0.0,-161.5,27.878568310337386,24.70090598995101,0.0,0.0,0.0
110,-335.202461197203,0.0,0.0,-100.0,0.0,-544.5,214.58033811362284,103.56612048172265,0.0,0.0,0.0
112,668.5691834332171,1.0,773.7664128425657,0.0,0.0,-154.5,30.540909581361824,26.55164040577223,0.0,0.0,0.0
114,671.8434927182699,1.0,773.536720858284,0.0,0.0,-156.0,34.968663301410004,27.109292914785026,0.0,0.0,0.0
116,667.7914030003448,1.0,773.6166597934473,0.0,0.0,-155.5,31.334665236025433,26.059827956778083,0.0,0.0,0.0
118,669.4674920030116,1.0,773.4235390807731,0.0,0.0,-156.5,33.94030979104039,26.46293323731782,0.0,0.0,0.0
120,664.6498323607109,1.0,773.5250539227533,0.0,0.0,-155.5,28.433516394731946,25.64748557054286,0.0,0.0,0.0
122,669.2383133492915,1.0,773.6269612982755,0.0,0.0,-155.0,31.977524987835682,26.413624920728854,0.0,0.0,0.0
124,670.3608749404842,1.0,773.7623845227296,0.0,0.0,-154.5,32.46066179194955,26.32992940370513,0.0,0.0,0.0
126,664.6607055985878,1.0,773.4720134768074,0.0,0.0,-156.0,29.41426700425948,25.368673021241065,0.0,0.0,0.0
128,672.3336254165743,1.0,773.9698109818446,0.0,0.0,-153.5,32.87657297515035,26.622802563243077,0.0,0.0,0.0
130,666.2808666450469,1.0,773.5170141117926,0.0,0.0,-156.0,30.54877031575459,25.7554181424327,0.0,0.0,0.0
132,674.7635858119461,1.0,774.009823291762,0.0,0.0,-154.0,35.03653289094261,27.332328317690383,0.0,0.0,0.0
134,674.2057573349634,1.0,774.0239421288798,0.0,0.0,-154.0,34.81471527972554,27.145701037866342,0.0,0.0,0.0
136,671.6351706940121,1.0,773.9469951675061,0.0,0.0,-154.5,33.2086013416292,26.788100249907842,0.0,0.0,0.0
138,675.3965478063102,1.0,774.2043880470042,0.0,0.0,-153.0,34.939865296918114,27.01324611098467,0.0,0.0,0.0
140,675.0174308630991,1.0,774.2686557800818,0.0,0.0,-152.5,33.736803894408794,27.2231581460775,0.0,0.0,0.0
142,-184.80788731887827,0.0,0.0,0.0,-50.0,-118.0,-14.878614446310824,3.7523733641168056,0.0,0.0,0.0
144,664.4118724447605,1.0,773.7789141537884,0.0,0.0,-154.5,27.52668789499885,25.35207409280838,0.0,0.0,0.0
