50,-254.4217359300879,0,0,0,-250.0,-16.361015981159643,26.69027258934105,0,0,0
100,858.081132114673,785.1937677618126,0,0,-123.0,194.2416748369178,8.367127063695813,0,0,0
150,837.0317303081181,792.8305720161441,0,0,-85.0,127.11835088776292,6.499002104388281,0,0,0
final,853.9805205550347,792.034409123101,0,0,-89.0,148.79107470456415,6.790637060402938,0,0,0
