episode,success_rewards,airspace_penalties,mva_penalties,time_penalty,approach_position_rewards,approach_angle_rewards,glideslope_rewards,fuel_efficiency_rewards,fuel_penalties
0,0,-100,0,-217.0,-81.56305033255825,0,0,0,0
1,0,-100,0,-219.5,-77.06026496649616,0,0,0,0
2,0,-100,0,-226.0,-70.63101957679885,0,0,0,0
3,0,-100,0,-230.5,-29.142595763209123,27.564360106813744,0,0,0
4,0,-100,0,-219.5,-74.56545592982775,0,0,0,0
5,0,-100,0,-223.0,-58.02232221548769,19.359878306357853,0,0,0
6,0,-100,0,-220.0,-79.62960669286855,0,0,0,0
7,0,-100,0,-209.0,-73.10625385494787,0,0,0,0
8,0,-100,0,-236.5,-82.1671123967961,0,0,0,0
9,0,-100,0,-231.0,-60.569863091446614,17.136638830647776,0,0,0
10,0,-100,0,-223.5,-18.87938510892414,28.786212835019562,0,0,0
11,0,-100,0,-219.0,-84.8726905747504,0,0,0,0
12,0,-100,0,-207.5,-72.20259683699557,0,0,0,0
13,0,-100,0,-237.5,-41.18359509045384,24.005971732931943,0,0,0
14,0,-100,0,-212.5,-75.61898898540176,0,0,0,0
15,0,-100,0,-222.0,-62.80161749481439,0,0,0,0
16,0,-100,0,-230.5,-80.70369004998413,0,0,0,0
17,0,-100,0,-223.0,-36.264075637380614,25.041709795821266,0,0,0
18,0,-100,0,-223.5,-62.88958563273389,14.134620907766747,0,0,0
19,0,0,0,-250.0,42.198494439725636,39.73419763240279,0,0,0
20,0,0,0,-250.0,31.36404787987758,27.635512461863648,0,0,0
21,0,0,0,-250.0,171.33720809916917,28.535699303667798,0,0,0
22,0,0,0,-250.0,2.614497306791385,36.14022029162604,0,0,0
23,0,-100,0,-241.0,-77.11041778882641,0,0,0,0
24,769.9623040601659,0,0,-199.0,333.237236497275,18.927371608924748,0,0,0
25,780.8165801279405,0,0,-145.0,226.40585708144826,10.037582652045995,0,0,0
26,781.4298918718455,0,0,-142.0,222.10707333473093,8.154457322875858,0,0,0
27,778.8127626726841,0,0,-155.0,245.49517807535486,8.950213552939617,0,0,0
28,0,0,0,-250.0,-58.029842581980574,0,0,0,0
29,0,0,0,-250.0,68.77194213871739,40.0150839176563,0,0,0
30,777.7954237646874,0,0,-160.0,286.09267458513176,12.874458673300323,0,0,0
31,777.4884997343859,0,0,-161.5,277.13060278977133,17.505647210155,0,0,0
32,0,0,0,-250.0,376.50328540237246,22.93399832116212,0,0,0
33,0,-100,0,-237.5,169.80490826483089,14.084845873334656,0,0,0
34,781.3148589475645,0,0,-142.5,232.58678686135335,7.303877240448673,0,0,0
35,0,0,0,-250.0,18.601264587095955,36.03495303509042,0,0,0
36,0,0,0,-250.0,233.1071510650336,42.835966747128424,0,0,0
37,0,0,0,-250.0,65.42266568502026,38.023639160012074,0,0,0
38,0,-100,0,-217.0,196.06346203325933,3.7701063964534844,0,0,0
39,0,0,0,-250.0,273.29302140473305,38.546100167197494,0,0,0
40,779.6966275758624,0,0,-150.5,270.2447120302791,14.005394909854214,0,0,0
41,783.3079965257136,0,0,-132.5,210.70459929490985,3.6802050560959585,0,0,0
42,787.03652422593,0,0,-114.0,172.77216750328418,4.69281607593081,0,0,0
43,786.4285683187009,0,0,-117.0,177.45374304878027,7.841235599600225,0,0,0
44,786.528281150483,0,0,-116.5,178.87415609527176,6.906414359416889,0,0,0
45,785.313616095894,0,0,-122.5,191.70969309378498,7.412985804109334,0,0,0
46,790.04857441317,0,0,-99.0,155.58516756748008,7.591584471421248,0,0,0
47,788.4346116685989,0,0,-107.0,171.4153442768105,4.623649492846184,0,0,0
48,785.4164996337261,0,0,-122.0,204.58791157344962,9.210137270331959,0,0,0
49,787.2252316757132,0,0,-113.0,173.29489176167792,3.100277047743717,0,0,0
50,0,0,0,-250.0,-16.361015981159643,26.69027258934105,0,0,0
51,789.0312297417095,0,0,-104.0,161.06748076042493,4.006397513974024,0,0,0
